rank,rating,title,movieyear,votes,gross,budget,
102,8.3,Indiana Jones and the Last Crusade,1989,336055,474171806,
103,8.3,Raging Bull,1980,160636,23380203,
104,8.3,The Bridge on the River Kwai,1957,102421,33300000,
105,8.3,Die Hard,1988,395178,139109346,
106,8.3,Yojimbo,1961,49855,0,0,
107,8.3,Batman Begins,2005,604923,373298774,
108,8.3,A Separation,2011,93088,24426169,500000,
109,8.2,Inglourious Basterds,2009,505702,316971720,
110,8.2,For a Few Dollars More,1965,94509,15000000,750000,
111,8.2,Mr. Smith Goes to Washington,1939,54505,9000000,
112,8.2,Snatch.,2000,392241,83593107,
113,8.2,Toy Story,1995,369869,364530148,
114,8.2,On the Waterfront,1954,68966,9600000,
115,8.2,The Great Escape,1963,110551,11744741,
116,8.2,Downfall,2004,168689,93631742,
117,8.2,Pan's Labyrinth,2006,313115,37623143,13500000,
118,8.2,Up,2009,377485,731542621,
119,8.2,The General,1926,34819,52823,750000,
120,8.2,The Seventh Seal,1957,74369,0,150000,
121,8.2,Heat,1995,297114,187436818,60000000,
122,8.2,The Elephant Man,1980,111071,26010864,
123,8.2,The Maltese Falcon,1941,81135,1772000,375000,
124,8.2,The Kid,1921,35316,5450000,250000,charlie chaplin,,
125,8.2,Blade Runner,1982,326683,33139618,
126,8.2,Wild Strawberries,1957,41744,0,0,
127,8.2,Rebecca,1940,61069,6000000,
128,8.2,Scarface,1983,344351,44942821,
129,8.2,Ikiru,1952,27215,55240,0,
130,8.2,Ran,1985,55197,2132974,11500000,
131,8.2,Fargo,1996,285542,51204567,
132,8.2,Gran Torino,2008,367352,269958228,33000000,
133,8.2,Touch of Evil,1958,52508,2237659,829000,
134,8.2,The Big Lebowski,1998,348568,46189568,
135,8.2,The Gold Rush,1925,41458,5450000,923000,charlie chaplin,,
136,8.2,The Deer Hunter,1978,161747,50000000,
137,8.2,Cool Hand Luke,1967,84470,0,0,
138,8.1,It Happened One Night,1934,43205,2500000,
139,8.1,Diabolique,1955,26777,0,0,
140,8.1,No Country for Old Men,2007,397628,164051250,
141,8.1,The Sixth Sense,1999,475862,672806292,
142,8.1,Lock. Stock and Two Smoking Barrels,1998,277636,28356188,
143,8.1,Jaws,1975,267827,470700000,
144,8.1,Good Will Hunting,1997,366430,225933435,
145,8.1,Strangers on a Train,1951,64124,7000000,
146,8.1,Casino,1995,216669,110400000,
147,8.1,Judgment at Nuremberg,1961,25742,0,3000000,
148,8.1,The Grapes of Wrath,1940,42227,0,0,
149,8.1,The Wizard of Oz,1939,192425,33711566,
150,8.1,Platoon,1986,202044,137963328,
151,8.1,Sin City,2005,459794,158753820,
152,8.1,Butch Cassidy and the Sundance Kid,1969,102995,102308900,
153,8.1,Kill Bill: Vol. 1,2003,470244,180098138,
154,8.1,The Thing,1982,175041,27501814,
155,8.1,Trainspotting,1996,312510,24000785,
156,8.1,Gone with the Wind,1939,148410,20000000,
157,8.1,High Noon,1952,56791,18000000,750000,
158,8.1,Annie Hall,1977,127072,38251425,
159,8.1,Hotel Rwanda,2004,180270,36521223,
160,8.1,The Hunt,2012,39033,1856848,3800000,
161,8.1,Warrior,2011,190877,24215385,
162,8.1,The Secret in Their Eyes,2009,73505,33965843,2000000,
163,8.1,Finding Nemo,2003,406678,906465556,
164,8.1,My Neighbor Totoro,1988,88095,0,0,
165,8.1,V for Vendetta,2005,507750,129231542,
166,8.1,Notorious,1946,52582,44475155,
167,8.1,Dial M for Murder,1954,65745,12562,1400000,
168,8.1,The Avengers,2012,568037,1514279547,
169,8.1,How to Train Your Dragon,2010,249971,494870991,
170,8.1,Life of Brian,1979,183277,20008693,
171,8.1,Into the Wild,2007,263344,56395211,
172,8.1,The Best Years of Our Lives,1946,27843,23600000,
